sessionID,conn_dt,disc_dt,hour,dow,is_weekend,kWh,session_h,charging_h,idle_h,est_util,dyn_tariff,tariff_regime,rev_fixed,rev_dynamic,tariff_chg_pct,demand_resp_pct,adj_kWh
2_39_78_365_2018-07-09 20:58:40.664349,2018-07-09 20:58:41+00:00,2018-07-10 01:55:22+00:00,20,0,0,13.359,4.9447222222222225,4.183611111111111,0.7611111111111111,0.5909447583176397,22.047237915881986,Surge,200.385,294.5290513182675,46.981586105879906,-14.09447583176397,11.47611897363465
2_39_125_559_2018-07-09 21:35:41.127958,2018-07-09 21:35:41+00:00,2018-07-10 00:46:41+00:00,21,0,0,13.937,3.183333333333333,2.86,0.32333333333333325,0.5804300062774639,21.521500313873194,Surge,209.05499999999998,299.9451498744507,43.47666875915463,-13.043000627746387,12.119197002510985
2_39_130_564_2018-07-09 21:36:27.360624,2018-07-09 21:36:27+00:00,2018-07-10 00:09:34+00:00,21,0,0,7.66,2.5519444444444446,2.5505555555555555,0.001388888888889106,0.5804300062774639,21.521500313873194,Surge,114.9,164.85469240426866,43.47666875915463,-13.043000627746387,6.660906151914626
2_39_138_29_2018-07-09 21:37:11.607080,2018-07-09 21:37:12+00:00,2018-07-09 21:53:46+00:00,21,0,0,1.351,0.2761111111111111,0.27444444444444444,0.0016666666666666496,0.5804300062774639,21.521500313873194,Surge,20.265,29.075546924042683,43.47666875915463,-13.043000627746387,1.1747890615191463
2_39_125_21_2018-07-09 22:06:46.192915,2018-07-09 22:06:46+00:00,2018-07-10 01:37:21+00:00,22,0,0,13.894,3.5097222222222224,2.3244444444444445,1.1852777777777779,0.5741525423728814,21.20762711864407,Surge,208.41,294.6587711864407,41.384180790960464,-12.415254237288138,12.169024576271186
2_39_138_29_2018-07-09 22:11:01.107987,2018-07-09 22:11:01+00:00,2018-07-09 23:36:28+00:00,22,0,0,4.552,1.4241666666666666,1.4230555555555555,0.0011111111111110628,0.5741525423728814,21.20762711864407,Surge,68.28,96.53711864406779,41.384180790960464,-12.415254237288138,3.9868576271186433
2_39_127_19_2018-07-09 22:19:54.657276,2018-07-09 22:19:55+00:00,2018-07-10 02:55:30+00:00,22,0,0,6.263,4.593055555555556,2.1461111111111113,2.4469444444444446,0.5741525423728814,21.20762711864407,Surge,93.945,132.8233686440678,41.384180790960464,-12.415254237288138,5.4854326271186435
2_39_130_31_2018-07-09 23:24:49.507640,2018-07-09 23:24:49+00:00,2018-07-10 00:54:05+00:00,23,0,0,8.883,1.4877777777777779,1.4602777777777778,0.02750000000000008,0.5574387947269304,20.37193973634652,Surge,133.24499999999998,180.96394067796612,35.81293157564346,-10.743879472693038,7.928621186440677
2_39_79_378_2018-07-09 23:27:37.555235,2018-07-09 23:27:38+00:00,2018-07-10 14:47:47+00:00,23,0,0,27.252,15.335833333333333,5.4925,9.843333333333334,0.5574387947269304,20.37193973634652,Surge,408.78,555.1761016949154,35.81293157564346,-10.743879472693038,24.32407796610169
2_39_129_17_2018-07-09 23:37:52.677463,2018-07-09 23:37:53+00:00,2018-07-10 00:57:17+00:00,23,0,0,4.378,1.3233333333333333,1.32,0.0033333333333331883,0.5574387947269304,20.37193973634652,Surge,65.67,89.18835216572506,35.81293157564346,-10.743879472693038,3.907632956685499
2_39_79_380_2018-07-09 23:46:15.835416,2018-07-09 23:46:16+00:00,2018-07-10 00:47:56+00:00,23,0,0,2.923,1.0277777777777777,0.9716666666666667,0.056111111111111,0.5574387947269304,20.37193973634652,Surge,43.845,59.54717984934088,35.81293157564346,-10.743879472693038,2.6089564030131824
2_39_138_29_2018-07-10 00:20:08.599343,2018-07-10 00:20:09+00:00,2018-07-10 03:08:52+00:00,0,1,0,13.907,2.8119444444444444,2.251388888888889,0.5605555555555553,0.491368487131199,17.06842435655995,Surge,208.605,237.37057752667926,13.789495710399677,-4.136848713119903,13.331688449466416
2_39_90_26_2018-07-10 00:21:47.833228,2018-07-10 00:21:48+00:00,2018-07-10 03:48:33+00:00,0,1,0,11.025,3.4458333333333333,3.443611111111111,0.0022222222222221255,0.491368487131199,17.06842435655995,Surge,165.375,188.17937853107347,13.789495710399677,-4.136848713119903,10.568912429378532
2_39_79_377_2018-07-10 00:22:26.228144,2018-07-10 00:22:26+00:00,2018-07-10 12:53:59+00:00,0,1,0,16.546,12.525833333333333,5.348055555555556,7.177777777777777,0.491368487131199,17.06842435655995,Surge,248.19,282.414149403641,13.789495710399677,-4.136848713119903,15.86151701192718
2_39_129_17_2018-07-10 01:15:14.611225,2018-07-10 01:15:15+00:00,2018-07-10 03:37:38+00:00,1,1,0,8.143,2.3730555555555557,2.2105555555555556,0.1625000000000001,0.3888888888888889,15.0,Base,122.14500000000001,122.14500000000001,0.0,-0.0,8.143
2_39_139_28_2018-07-10 01:21:41.715418,2018-07-10 01:21:42+00:00,2018-07-10 04:02:48+00:00,1,1,0,8.838,2.685,2.6838888888888888,0.0011111111111112848,0.3888888888888889,15.0,Base,132.57,132.57,0.0,-0.0,8.838
2_39_128_18_2018-07-10 01:54:23.200506,2018-07-10 01:54:23+00:00,2018-07-10 05:37:02+00:00,1,1,0,6.035,3.7108333333333334,1.9769444444444444,1.733888888888889,0.3888888888888889,15.0,Base,90.525,90.525,0.0,-0.0,6.035
2_39_131_30_2018-07-10 02:04:37.861296,2018-07-10 02:04:38+00:00,2018-07-10 02:15:20+00:00,2,1,0,0.985,0.17833333333333334,0.17694444444444443,0.0013888888888889117,0.29637476459510353,15.0,Base,14.775,14.775,0.0,-0.0,0.985
2_39_79_383_2018-07-10 02:14:31.007345,2018-07-10 02:14:31+00:00,2018-07-10 06:55:21+00:00,2,1,0,21.606,4.680555555555555,4.678333333333334,0.0022222222222216814,0.29637476459510353,15.0,Base,324.09000000000003,324.09000000000003,0.0,-0.0,21.606
2_39_125_21_2018-07-10 02:21:36.506032,2018-07-10 02:21:36+00:00,2018-07-10 13:57:29+00:00,2,1,0,12.267,11.598055555555556,2.0588888888888888,9.539166666666667,0.29637476459510353,15.0,Base,184.005,184.005,0.0,-0.0,12.267
2_39_79_379_2018-07-10 02:21:44.789138,2018-07-10 02:21:45+00:00,2018-07-10 15:21:44+00:00,2,1,0,13.034,12.999722222222223,12.41611111111111,0.5836111111111126,0.29637476459510353,15.0,Base,195.51000000000002,195.51000000000002,0.0,-0.0,13.034
2_39_131_30_2018-07-10 02:22:29.751807,2018-07-10 02:22:30+00:00,2018-07-10 05:31:11+00:00,2,1,0,6.111,3.144722222222222,2.104722222222222,1.04,0.29637476459510353,15.0,Base,91.66499999999999,91.66499999999999,0.0,-0.0,6.111
2_39_78_365_2018-07-10 02:52:21.645853,2018-07-10 02:52:22+00:00,2018-07-10 15:46:20+00:00,2,1,0,39.852,12.899444444444445,9.870277777777778,3.029166666666667,0.29637476459510353,15.0,Base,597.78,597.78,0.0,-0.0,39.852
